x,y,z
[0.86254864 1.14490526 2.6872223 ],[1.06066674 1.12822321 2.78658044],[1.00267195 1.94539746 1.07480363]
[0.86404783 1.14409519 2.68719057],[1.06176488 1.12807987 2.78731187],[1.00709418 1.94181748 1.07580855]
[0.86553584 1.14329688 2.68715826],[1.06286057 1.12793958 2.78804271],[1.0114782  1.93827554 1.07681363]
[0.86700685 1.14251615 2.68712537],[1.06395248 1.12780366 2.78877296],[1.01580458 1.93479108 1.07781888]
[0.8684541  1.14175976 2.68709188],[1.06503908 1.12767364 2.78950261],[1.02005082 1.9313866  1.07882429]
[0.86986989 1.14103543 2.68705782],[1.06611866 1.12755123 2.79023167],[1.02419119 1.92808783 1.07982986]
[0.87124546 1.1403519  2.68702316],[1.06718934 1.12743833 2.79096012],[1.02819661 1.92492385 1.08083559]
[0.87257111 1.13971889 2.68698791],[1.06824905 1.127337   2.79168798],[1.03203473 1.92192701 1.08184148]
[0.87383619 1.13914704 2.68695206],[1.06929556 1.12724947 2.79241523],[1.03567017 1.91913268 1.08284753]
[0.87502932 1.13864773 2.68691562],[1.07032656 1.12717805 2.79314188],[1.03906508 1.91657872 1.08385375]
[0.87613862 1.13823285 2.68687859],[1.0713397  1.12712511 2.79386793],[1.04218    1.9143046  1.08486012]
[0.87715206 1.13791443 2.68684096],[1.07233264 1.12709296 2.79459337],[1.04497502 1.91235021 1.08586666]
[0.87805796 1.13770414 2.68680273],[1.0733032 1.1270838 2.7953182],[1.04741139 1.91075431 1.08687336]
[0.87884551 1.1376128  2.68676391],[1.07424947 1.12709954 2.79604242],[1.04945329 1.90955272 1.08788022]
[0.87950537 1.13764976 2.68672448],[1.07516987 1.12714177 2.79676603],[1.05106982 1.90877634 1.08888723]
[0.88003023 1.13782231 2.68668445],[1.07606331 1.12721156 2.79748903],[1.05223687 1.90844928 1.08989441]
[0.88041533 1.13813522 2.68664383],[1.07692923 1.12730949 2.79821141],[1.05293877 1.90858722 1.09090175]
[0.88065877 1.1385904  2.6866026 ],[1.07776768 1.1274355  2.79893319],[1.05316939 1.90919626 1.09190925]
[0.88076166 1.13918672 2.68656077],[1.07857928 1.12758897 2.79965435],[1.05293263 1.91027254 1.0929169 ]
[0.88072805 1.13992015 2.68651834],[1.07936522 1.12776872 2.8003749 ],[1.05224207 1.91180245 1.09392472]
[0.88056463 1.14078399 2.68647531],[1.08012713 1.1279731  2.80109483],[1.05112004 1.91376367 1.0949327 ]
[0.88028024 1.14176939 2.68643167],[1.08086703 1.12820012 2.80181416],[1.04959609 1.91612665 1.09594083]
[0.87988538 1.14286587 2.68638744],[1.08158714 1.12844752 2.80253287],[1.04770508 1.91885653 1.09694912]
[0.87939155 1.14406192 2.68634261],[1.08228985 1.12871296 2.80325096],[1.04548529 1.92191504 1.09795758]
[0.87881073 1.14534556 2.68629718],[1.08297752 1.12899403 2.80396845],[1.0429765  1.92526239 1.09896619]
[0.87815487 1.14670483 2.68625115],[1.08365245 1.12928846 2.80468532],[1.04021839 1.9288589  1.09997495]
[0.87743553 1.14812819 2.68620452],[1.08431683 1.12959405 2.80540159],[1.03724926 1.93266627 1.10098388]
[0.87666356 1.14960477 2.6861573 ],[1.08497262 1.12990884 2.80611724],[1.03410511 1.9366485  1.10199296]
