x,y,z
[0.79097456 2.55430035],[0.75216882 1.69452937],[0.94303083 2.55239796]
[0.79111327 2.55532271],[0.75274671 1.69504342],[0.94314445 2.55274681]
[0.7912514  2.55634564],[0.75332429 1.69555779],[0.94325756 2.55309617]
[0.79138897 2.55736914],[0.75390157 1.69607245],[0.94337014 2.55344606]
[0.79152596 2.55839322],[0.75447855 1.69658742],[0.9434822  2.55379647]
[0.79166239 2.55941786],[0.75505522 1.6971027 ],[0.94359374 2.5541474 ]
[0.79179825 2.56044308],[0.75563158 1.69761827],[0.94370476 2.55449884]
[0.79193353 2.56146886],[0.75620765 1.69813415],[0.94381527 2.55485081]
[0.79206826 2.56249521],[0.75678341 1.69865033],[0.94392526 2.55520329]
[0.79220241 2.56352212],[0.75735887 1.69916682],[0.94403474 2.55555628]
[0.792336  2.5645496],[0.75793403 1.6996836 ],[0.9441437  2.55590979]
[0.79246903 2.56557765],[0.7585089  1.70020068],[0.94425215 2.55626382]
[0.79260149 2.56660626],[0.75908346 1.70071806],[0.94436009 2.55661835]
[0.79273339 2.56763543],[0.75965772 1.70123575],[0.94446751 2.5569734 ]
[0.79286473 2.56866517],[0.76023169 1.70175373],[0.94457443 2.55732896]
[0.79299551 2.56969546],[0.76080536 1.702272  ],[0.94468083 2.55768503]
[0.79312573 2.57072632],[0.76137873 1.70279058],[0.94478673 2.55804161]
[0.79325539 2.57175774],[0.7619518  1.70330945],[0.94489212 2.55839869]
[0.79338449 2.57278971],[0.76252458 1.70382861],[0.944997   2.55875628]
[0.79351303 2.57382224],[0.76309707 1.70434807],[0.94510138 2.55911438]
[0.79364102 2.57485533],[0.76366926 1.70486783],[0.94520525 2.55947299]
[0.79376845 2.57588898],[0.76424116 1.70538787],[0.94530862 2.55983209]
[0.79389533 2.57692318],[0.76481276 1.70590822],[0.94541149 2.5601917 ]
[0.79402165 2.57795794],[0.76538407 1.70642885],[0.94551386 2.56055182]
[0.79414742 2.57899325],[0.76595509 1.70694978],[0.94561572 2.56091243]
[0.79427264 2.58002911],[0.76652582 1.70747099],[0.94571709 2.56127354]
[0.7943973  2.58106552],[0.76709626 1.7079925 ],[0.94581795 2.56163516]
[0.79452142 2.58210249],[0.76766641 1.7085143 ],[0.94591832 2.56199727]
[0.79464498 2.58314   ],[0.76823627 1.70903639],[0.94601819 2.56235988]
[0.794768   2.58417807],[0.76880584 1.70955876],[0.94611757 2.56272298]
[0.79489047 2.58521668],[0.76937512 1.71008143],[0.94621645 2.56308658]
[0.79501239 2.58625584],[0.76994412 1.71060438],[0.94631484 2.56345068]
[0.79513377 2.58729555],[0.77051283 1.71112761],[0.94641273 2.56381527]
[0.7952546 2.5883358],[0.77108125 1.71165114],[0.94651013 2.56418035]
[0.79537489 2.5893766 ],[0.77164939 1.71217495],[0.94660704 2.56454592]
[0.79549463 2.59041794],[0.77221724 1.71269905],[0.94670346 2.56491198]
[0.79561383 2.59145982],[0.77278481 1.71322342],[0.94679939 2.56527853]
[0.79573249 2.59250225],[0.77335209 1.71374809],[0.94689484 2.56564558]
[0.79585061 2.59354522],[0.77391909 1.71427303],[0.94698979 2.56601311]
[0.79596818 2.59458873],[0.77448581 1.71479826],[0.94708426 2.56638112]
[0.79608522 2.59563277],[0.77505225 1.71532378],[0.94717825 2.56674962]
[0.79620172 2.59667736],[0.7756184  1.71584957],[0.94727175 2.56711861]
[0.79631769 2.59772248],[0.77618428 1.71637564],[0.94736476 2.56748808]
[0.79643311 2.59876815],[0.77674987 1.71690199],[0.94745729 2.56785803]
[0.796548   2.59981434],[0.77731519 1.71742863],[0.94754935 2.56822847]
[0.79666236 2.60086108],[0.77788022 1.71795554],[0.94764092 2.56859938]
[0.79677618 2.60190834],[0.77844498 1.71848273],[0.94773201 2.56897078]
[0.79688947 2.60295614],[0.77900946 1.7190102 ],[0.94782262 2.56934266]
[0.79700223 2.60400448],[0.77957367 1.71953794],[0.94791276 2.56971501]
[0.79711445 2.60505334],[0.78013759 1.72006596],[0.94800242 2.57008784]
[0.79722615 2.60610274],[0.78070125 1.72059426],[0.9480916  2.57046115]
[0.79733732 2.60715266],[0.78126462 1.72112283],[0.94818031 2.57083493]
[0.79744795 2.60820312],[0.78182773 1.72165168],[0.94826854 2.57120919]
[0.79755806 2.6092541 ],[0.78239055 1.7221808 ],[0.9483563  2.57158392]
[0.79766765 2.61030561],[0.78295311 1.72271019],[0.94844359 2.57195912]
[0.7977767  2.61135765],[0.78351539 1.72323986],[0.94853041 2.57233479]
[0.79788524 2.61241021],[0.7840774 1.7237698],[0.94861676 2.57271094]
[0.79799324 2.61346329],[0.78463914 1.72430001],[0.94870263 2.57308755]
[0.79810073 2.6145169 ],[0.78520061 1.72483049],[0.94878804 2.57346463]
[0.79820769 2.61557104],[0.78576181 1.72536124],[0.94887299 2.57384218]
[0.79831413 2.61662569],[0.78632273 1.72589226],[0.94895746 2.5742202 ]
[0.79842005 2.61768087],[0.78688339 1.72642355],[0.94904148 2.57459868]
[0.79852545 2.61873657],[0.78744378 1.72695511],[0.94912502 2.57497763]
[0.79863033 2.61979278],[0.78800391 1.72748694],[0.94920811 2.57535704]
[0.79873469 2.62084952],[0.78856376 1.72801903],[0.94929073 2.57573692]
[0.79883854 2.62190677],[0.78912335 1.72855139],[0.94937289 2.57611725]
[0.79894187 2.62296453],[0.78968267 1.72908402],[0.94945458 2.57649805]
[0.79904468 2.62402282],[0.79024173 1.72961691],[0.94953582 2.57687931]
[0.79914698 2.62508162],[0.79080052 1.73015007],[0.9496166  2.57726102]
[0.79924877 2.62614093],[0.79135905 1.73068349],[0.94969692 2.5776432 ]
[0.79935004 2.62720076],[0.79191732 1.73121718],[0.94977679 2.57802583]
[0.79945081 2.6282611 ],[0.79247532 1.73175113],[0.9498562  2.57840892]
[0.79955106 2.62932194],[0.79303306 1.73228534],[0.94993515 2.57879246]
[0.7996508 2.6303833],[0.79359053 1.73281981],[0.95001365 2.57917646]
[0.79975003 2.63144517],[0.79414775 1.73335454],[0.9500917  2.57956091]
[0.79984875 2.63250755],[0.79470471 1.73388954],[0.9501693  2.57994582]
[0.79994697 2.63357044],[0.7952614  1.73442479],[0.95024644 2.58033117]
[0.80004468 2.63463383],[0.79581784 1.73496031],[0.95032313 2.58071698]
[0.80014188 2.63569773],[0.79637402 1.73549608],[0.95039938 2.58110323]
[0.80023858 2.63676214],[0.79692993 1.73603211],[0.95047517 2.58148994]
[0.80033478 2.63782704],[0.7974856 1.7365684],[0.95055052 2.58187709]
[0.80043047 2.63889246],[0.798041   1.73710495],[0.95062542 2.58226469]
[0.80052566 2.63995837],[0.79859615 1.73764175],[0.95069988 2.58265274]
